"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 26 19:33:10 EEST 2022","Mon Sep 26 19:33:13 EEST 2022","2731","","Signing up with any variants","","","","Sign up without email ",""
"passed","Mon Sep 26 19:33:13 EEST 2022","Mon Sep 26 19:33:15 EEST 2022","2655","","Signing up with any variants","","","","Sign Up without password",""
"passed","Mon Sep 26 19:32:45 EEST 2022","Mon Sep 26 19:32:50 EEST 2022","4838","","Signing in with any variants","","","","Sign in with empty password",""
"passed","Mon Sep 26 19:33:15 EEST 2022","Mon Sep 26 19:33:19 EEST 2022","3760","","Signing up with any variants","","","","Sign up without name",""
"passed","Mon Sep 26 19:32:39 EEST 2022","Mon Sep 26 19:32:45 EEST 2022","5234","","Signing in with any variants","","","","Sign In without email ",""
"passed","Mon Sep 26 19:32:50 EEST 2022","Mon Sep 26 19:32:55 EEST 2022","5191","","Signing in with any variants","","","","Sign in with empty email and password",""
"passed","Mon Sep 26 19:33:19 EEST 2022","Mon Sep 26 19:33:22 EEST 2022","3227","","Signing up with any variants","","","","Sign up without Terms checkbox setting",""
"passed","Mon Sep 26 19:32:33 EEST 2022","Mon Sep 26 19:32:39 EEST 2022","6609","","Signing in with any variants","","","","Sign in with invalid email and password",""
"passed","Mon Sep 26 19:33:03 EEST 2022","Mon Sep 26 19:33:10 EEST 2022","6859","","Signing up with any variants","","","","Sign Up",""
"passed","Mon Sep 26 19:32:16 EEST 2022","Mon Sep 26 19:32:33 EEST 2022","17007","","Signing in with any variants","","","","Sign in with valid credentials",""
