"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 26 18:06:02 UTC 2022","Mon Sep 26 18:06:02 UTC 2022","0","","Signing in with any variants","","","","Sign in with empty email and password",""
"passed","Mon Sep 26 18:06:26 UTC 2022","Mon Sep 26 18:06:29 UTC 2022","2802","","Signing up with any variants","","","","Sign Up without password",""
"passed","Mon Sep 26 18:06:16 UTC 2022","Mon Sep 26 18:06:23 UTC 2022","6998","","Signing up with any variants","","","","Sign Up",""
"skipped","Mon Sep 26 18:06:02 UTC 2022","Mon Sep 26 18:06:02 UTC 2022","0","","Signing in with any variants","","","","Sign In without email ",""
"skipped","Mon Sep 26 18:06:02 UTC 2022","Mon Sep 26 18:06:02 UTC 2022","1","","Signing in with any variants","","","","Sign in with invalid email and password",""
"passed","Mon Sep 26 18:06:29 UTC 2022","Mon Sep 26 18:06:33 UTC 2022","3406","","Signing up with any variants","","","","Sign up without name",""
"broken","Mon Sep 26 18:05:51 UTC 2022","Mon Sep 26 18:06:02 UTC 2022","10944","","Signing in with any variants","","","","Sign in with valid credentials",""
"passed","Mon Sep 26 18:06:33 UTC 2022","Mon Sep 26 18:06:36 UTC 2022","3753","","Signing up with any variants","","","","Sign up without Terms checkbox setting",""
"passed","Mon Sep 26 18:06:23 UTC 2022","Mon Sep 26 18:06:26 UTC 2022","3074","","Signing up with any variants","","","","Sign up without email ",""
"skipped","Mon Sep 26 18:06:02 UTC 2022","Mon Sep 26 18:06:02 UTC 2022","1","","Signing in with any variants","","","","Sign in with empty password",""
